pais_id;pais;anio;sector_IPCC;categoria_IPCC;subcategoria_de_1er_orden;subactividad;fuente_de_emision_y_absorcion_id;fuente_de_emision_y_absorcion;gas;unidades;valor
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras Forestales;Bosque Nativo;3B1ai1;Tierras forestales que permanecen como tales (emision Bosque Nativo);CO2;MtCO2eq;11.73
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras Forestales;Bosque Nativo;3B1ai2;Tierras forestales que permanecen como tales (Captura Bosque Nativo);CO2;MtCO2eq;-4.08
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras Forestales;Bosque Cultivado;3B1aii1;Tierras forestales que permanecen como tales (Remocion Bosque Cultivado);CO2;MtCO2eq;5.82
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras Forestales;Bosque Cultivado;3B1aii2;Tierras forestales que permanecen como tales (Crecimiento Bosque Cultivado);CO2;MtCO2eq;-20.77
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras de Cultivo;Cultivo/Pasturas;3B2bi;Tierras forestales convertidas en suelos cultivados;CO2;MtCO2eq;28.09
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras de Cultivo;Cultivo/Pasturas;3B2bii;Pastizales convertidos en suelos cultivados;CO2;MtCO2eq;-8.69
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Pastizales;Cultivo/Pasturas;3B3bi;Tierras forestales convertidas en pastizales;CO2;MtCO2eq;36.32
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Pastizales;Cultivo/Pasturas;3B3bii;Suelos cultivados convertidos en pastizales;CO2;MtCO2eq;2.35
32;Argentina;1990;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Fuentes agregadas y fuentes de emision NO-CO2 en la Tierra;Aplicacion de urea;Fertilizantes Sinteticos;3C3;Aplicacion de urea;CO2;MtCO2eq;0.14
32;Argentina;1991;Agricultura, Ganaderia, Silvicultura y Otros Usos de la Tierra ;Tierras;Tierras Forestales;Bosque Nativo;3B1ai1;Tierras forestales que permanecen como tales (emision Bosque Nativo);CO2;MtCO2eq;14.75
